id,nameFirst,nameLast,address,city,st,zip,creditCard,balance
5274,Lisa,Hahn,2792 Bailey Drive,Waterloo,IA,50703,MasterCard,5162.30
5275,Scott,Carver,3732 Meadow Drive,Glasgow,MT,59230,Discover,4825.85
5276,Leona,Ortiz,809 Tully Street,Detroit,MI,48227,Discover,3240.09
5277,Lowell,Cook,2477 Alfred Drive,Queens,NY,11430,MasterCard,4062.54
5278,Gwendolyn,Bell,2701 Chapel Street,Sugar Land,TX,77487,MasterCard,7502.76
5279,James,Bowman,710 Todds Lane,San Antonio,TX,78217,Visa,9133.79
5280,Charles,Petty,1983 Brown Bear Drive,Anza,CA,92539,Discover,1132.45
5281,Gregory,Coomer,1260 Stratford Drive,Waipahu,HI,96797,MasterCard,0.00
5282,William,Taylor,650 Grant Street,Longview,TX,75604,MasterCard,0.00
5283,Rodrigo,Novotny,3919 Maple Lane,Huntsville,AL,35816,MasterCard,0.00
5284,Joseph,Henley,275 Steve Hunt Road,Miami,FL,33169,MasterCard,8087.18
5285,Lucille,Ryals,353 Nickel Road,Los Angeles,CA,90017,Visa,5783.80
5286,Arthur,Martinez,167 Rebecca Street,Wheeling,IL,60090,MasterCard,0.00
5287,Alta,Saunders,3365 Circle Drive,Houston,TX,77056,Visa,4167.47
5288,Ann,Bishop,4738 Hillview Drive,Dalton,GA,30720,Visa,8726.21
5289,Michael,Wade,4193 Chardonnay Drive,Oak Harbor,WA,98277,Visa,4232.91
5290,Kathryn,Jones,2257 Small Street,New York,NY,10019,Visa,9634.56
5291,Louis,Nieves,3574 Hamilton Drive,Glen Burnie,MD,21061,Discover,6487.47
5292,Kristin,Green,4919 Kooter Lane,Charlotte,NC,28209,MasterCard,12467.92
5293,Gabrielle,Turner,1280 Reynolds Alley,Huntington Beach,CA,92649,Visa,1014.46
5294,Janna,Otero,3141 Center Street,Springfield,OR,97477,Discover,8186.52
5295,Alice,Pineda,2272 Colony Street,Bridgeport,CT,06604,Visa,0.00
5296,Edith,Rawlings,1426 Private Lane,Cordele,GA,31015,Visa,5165.39
5297,Arthur,Bunn,4578 Burning Memory Lane,Philadelphia,PA,19103,MasterCard,9067.27
5298,David,Warren,3138 Happy Hollow Road,Wilmington,NC,28405,MasterCard,0.00
5299,Joseph,Clark,1572 Garrett Street,Pullman,MI,49450,Visa,8068.99
5300,Ulysses,Campbell,506 Turkey Pen Road,Brooklyn,NY,11206,MasterCard,8581.90
5301,Eileen,Burleson,633 Custer Street,Altoona,PA,16601,Discover,2384.85
5302,Charlene,Suarez,4 Tipple Road,Phila,PA,19103,MasterCard,5425.76
5303,Lynn,Beveridge,2486 Pleasant Hill Road,Los Angeles,CA,90017,Visa,7616.99
5304,Natalie,Tisdale,4092 Kovar Road,Falmouth,MA,02540,Visa,7295.18
5305,Michael,Hicks,2189 Wiseman Street,Mascot,TN,37806,Visa,11624.48
5306,Henry,Layton,2155 Leo Street,Tarentum,PA,15084,MasterCard,0.00
5307,Eugene,Castillo,4662 Biddie Lane,Goochland,VA,23063,Visa,21298.11
5308,Darlene,Parker,536 Pine Garden Lane,Atlanta,GA,30339,Discover,0.00
5309,Michelle,Torres,4679 Westfall Avenue,Albuquerque,NM,87107,MasterCard,2073.11
5310,Louie,Smith,4100 Marshall Street,Odenton,MD,21113,Visa,17441.61
5311,Denise,Sanford,874 Public Works Drive,Elizabethton,TN,37643,Visa,0.00
5312,Daniel,Jensen,1656 Hartland Avenue,Ashwaubenon,WI,54304,MasterCard,5810.79
5313,Jermaine,Muncie,41 Mount Tabor,Fairview Park,NY,10603,MasterCard,13227.32
5314,William,Sutton,4308 Musgrave Street,Atlanta,GA,30303,MasterCard,2303.87
5315,Kristine,Ross,567 Jadewood Drive,Lombard,IL,60148,Discover,6922.86
5316,Ellen,Powell,3141 Hawks Nest Lane,Saint Louis,MO,63126,MasterCard,8522.65
5317,Donna,Franklin,2323 Yorkie Lane,Springfield,GA,31329,Discover,0.00
5318,Leonore,Hua,1833 Eagles Nest Drive,Chico,CA,95928,MasterCard,2762.25
5319,Elizabeth,Cuneo,658 Cost Avenue,Rockville,MD,20852,Visa,0.00
5320,Jo,Kearns,3471 Willis Avenue,Orlando,FL,32801,Visa,0.00
5321,Teri,Valdez,3195 Coplin Avenue,Phoenix,AZ,85032,Visa,0.00
5322,Tom,Burris,2484 Pearl Street,Sacramento,CA,95827,Visa,2874.97
5323,Grover,Peckham,1545 Seth Street,San Angelo,TX,76903,MasterCard,2973.16
5324,Kandis,Patterson,3002 Joy Lane,North Hollywood,CA,91605,Visa,0.00
5325,Linda,Young,825 Creekside Lane,San Luis Obispo,CA,93401,MasterCard,3556.17
5326,Broderick,Barwick,4271 Cottonwood Lane,Nashville,TN,37214,Discover,5152.92
5327,Mary,Sullivan,1791 Walnut Hill Drive,Cincinnati,OH,45236,MasterCard,10388.05
5328,Anna,Adams,4452 Mattson Street,Salem,OR,97301,Visa,10859.65
5329,Maxine,Piper,4087 Blane Street,Saint Louis,MO,63141,Discover,8906.82
5330,Martha,Hamilton,2504 Simpson Avenue,Millersville,PA,17551,MasterCard,1050.63
5331,Matthew,Page,1 West Street,Hudsonville,MI,49426,Visa,0.00
5332,Ronnie,Lewis,2385 Spring Haven Trail,Secaucus,NJ,07094,Visa,5905.31
5333,Rosemary,Henke,355 Ritter Avenue,Detroit,MI,48226,MasterCard,1380.06
5334,Pablo,Neal,4419 Nicholas Street,Topeka,KS,66604,Discover,6131.75
5335,Lionel,Jennings,4663 Rinehart Road,Miami,FL,33132,MasterCard,12586.67
5336,Julia,Overton,2506 Hickory Lane,Washington,DC,20005,MasterCard,0.00
5337,Maria,Watson,2904 Burton Avenue,Memphis,TN,38138,MasterCard,5333.24
5338,Deborah,Boucher,423 Arrowood Drive,Jacksonville,FL,32216,MasterCard,7784.52
5339,Ethel,Russell,1245 Victoria Street,Chicago,IL,60601,Visa,7857.99
5340,Ouida,Wilcoxson,774 Coolidge Street,Billings,MT,59101,MasterCard,6427.87
5341,Donna,Elliott,1049 East Avenue,Scottsdale,AZ,85259,Discover,2189.33
5342,Roger,Hunt,2830 Langtown Road,Mansfield,OH,44907,Visa,0.00
5343,Robert,Patton,4061 Pallet Street,Westbury,NY,11590,Visa,3995.82
5344,Earl,Guerrero,2336 Peck Court,San Juan Capistrano,CA,92675,MasterCard,15958.47
5345,Marcus,Mcdaniel,1803 Monroe Avenue,Port Charlotte,FL,33952,MasterCard,4356.88
5346,Eugene,Cheng,2146 Glen Falls Road,Philadelphia,PA,19103,Visa,7631.33
5347,Helen,Mcdowell,2262 Sunrise Road,Upper Muddy,NV,89025,MasterCard,4590.91
5348,Michelle,Wilson,2408 Doctors Drive,Gardena,CA,90248,Visa,6171.30
5349,Neil,Baker,2750 James Street,Darien,NY,14040,Visa,6750.08
5350,Harry,Dunlap,165 Nickel Road,Anaheim,CA,92801,MasterCard,15358.96
5351,Judith,Krueger,1464 Cecil Street,Buffalo Grove,IL,60089,MasterCard,5215.20
5352,Gail,Webster,1018 Honeysuckle Lane,Portland,WA,97220,Visa,3738.84
5353,Angela,Ferebee,1011 Lucky Duck Drive,Pittsburgh,PA,15213,MasterCard,0.00
5354,Craig,Martinez,1489 Davis Street,Chickamauga,GA,30707,Visa,9533.23
5355,Ray,Oram,4969 Jadewood Drive,Lake Station,IN,46405,Visa,13329.12
5356,Jack,Becker,355 Howard Street,Kentwood,MI,49512,MasterCard,6838.10
5357,Curtis,Scurry,3399 Stroop Hill Road,Atlanta,GA,30303,Discover,3091.46
5358,David,Smith,1073 Diane Street,Newbury Park,CA,91320,Discover,4348.63
5359,Elizabeth,Glatt,2919 Jessie Street,Lancaster,OH,43130,Discover,10743.67
5360,Linda,Gullett,433 Queens Lane,South Hill,VA,23970,MasterCard,10067.22
5361,Stacey,Hughes,4809 Overlook Drive,Lafayette,IN,47904,Discover,4794.75
5362,Betty,Saldivar,4551 Carter Street,Blairsville (hamilton),IL,62859,MasterCard,8646.27
5363,Charles,Rouse,3958 Patterson Road,Brooklyn,NY,11215,Visa,6086.30
5364,Joseph,Conley,4961 Progress Way,Willmar,MN,56201,MasterCard,5830.39
5365,Domenica,Corbitt,2586 Morris Street,San Antonio,TX,78218,MasterCard,3023.67
5366,Betty,Jeffcoat,774 Willis Avenue,Palm Coast,FL,32037,MasterCard,9370.44
5367,Ashlie,Postma,1186 Elk Avenue,Tecumseh,MI,49286,Visa,21701.48
5368,Cassie,Towery,3469 Spirit Drive,Ormond Beach,FL,32174,Visa,8506.72
5369,Heidi,Steffey,2286 Taylor Street,Scarsdale,NY,10583,MasterCard,5111.30
5370,Roger,Jackson,3211 West Fork Drive,Plantation,FL,33324,Visa,6941.88
5371,John,Bryant,810 Emeral Dreams Drive,Arlington Heights,IL,60005,Visa,11864.66
5372,Sylvia,Holt,1995 Frum Street,Nashville,TN,37203,MasterCard,10301.32
5373,Kimberly,Wright,1393 Boone Street,Corpus Christi,TX,78410,Visa,2950.49
5374,Jennifer,King,3396 Pallet Street,Elmsford,NY,10523,MasterCard,3133.80
5375,Gary,Smith,1444 Carolina Avenue,Cleburne,TX,76031,Discover,0.00
5376,Rosemarie,Green,195 Sherwood Circle,Lafayette,LA,70501,MasterCard,0.00
5377,Donald,Stone,67 Heavner Court,Long Island City,NY,11101,Visa,0.00
5378,Jay,Smith,4344 Lewis Street,Oak Brook,IL,60523,Visa,7151.15
5379,Ramona,Heitzman,595 Platinum Drive,Beaver Falls,PA,15010,Visa,3558.39
5380,Michael,Schneider,2741 Christie Way,Marlboro,MA,01752,MasterCard,4441.78
5381,Gwen,Mcquay,2386 Eagle Street,Metropolis,IL,62960,MasterCard,8151.59
5382,Long,Miranda,2061 Calvin Street,Salisbury,MD,21875,Visa,2213.60
5383,Marvin,Edison,1841 Rodney Street,Olivette,MO,63132,MasterCard,0.00
5384,Tennie,Evans,1312 Nickel Road,Los Angeles,CA,90017,Visa,0.00
5385,Cecilia,Patterson,2904 Cooks Mine Road,Quemado,NM,87829,Visa,0.00
5386,John,White,3095 Conference Center Way,Washington,VA,20005,Discover,0.00
5387,George,Porter,4765 Waterview Lane,Floyd,NM,88118,Visa,2867.42
5388,Terry,Winter,1210 Longview Avenue,Flushing,NY,11365,MasterCard,0.00
5389,Claudia,Benoit,1517 Single Street,Bedford,MA,01730,Visa,4590.99
5390,John,Flood,1993 Spirit Drive,Hastings,FL,32145,Visa,16376.74
5391,Staci,Powell,2783 Grant View Drive,New Berlin,WI,53151,MasterCard,5992.02
5392,John,Woodard,3571 Matthews Street,Chicago,IL,60605,MasterCard,10384.96
5393,Michael,Robinson,4585 May Street,Barbourville,KY,40906,MasterCard,8106.26
5394,Helen,Enright,2645 Lincoln Street,Laurel Springs,NJ,08021,MasterCard,4965.15
5395,Joseph,Merrill,4705 Oakwood Avenue,New York,NY,10019,MasterCard,3063.30
5396,Charles,Wallace,4295 Wetzel Lane,Kentwood,MI,49512,Visa,1289.19
5397,Evelyn,Minton,4332 West Side Avenue,Rochelle Park,NJ,07662,MasterCard,0.00
5398,William,Jenkins,201 Alfred Drive,Brooklyn,NY,11201,Visa,3587.56
5399,Elena,Cooney,1296 Central Avenue,Rochelle Park,NJ,07662,Visa,2744.22
5400,Ella,Perkins,1737 Powder House Road,Boynton Beach,FL,33436,Discover,8618.17
5401,Gloria,Richardson,4286 Neville Street,Evansville,IN,47708,Visa,0.00
5402,Alice,Beckett,1502 Rockwell Lane,Roanoke Rapids,NC,27870,Visa,7592.94
5403,Isabel,Williams,1319 Renwick Drive,Plymouth Meeting,PA,19462,Visa,6874.75
5404,Robert,Elliott,914 Stratford Court,Raleigh,NC,27612,Discover,12491.49
5405,Adele,Luke,4384 Stratford Park,Owensburg,IN,47453,MasterCard,9765.10
5406,Wiley,Turner,1250 Crummit Lane,Glocester,RI,02814,MasterCard,4197.00
5407,Dennis,Belue,2215 Elmwood Avenue,Tempe,AZ,85281,Visa,15426.21
5408,Martha,Herrington,1073 Larry Street,Milwaukee,WI,53213,Visa,0.00
5409,Amber,Adams,1171 Valley View Drive,Boston,MA,02199,MasterCard,11037.79
5410,Dorothy,Ryan,845 Sycamore Fork Road,Sunrise,FL,33317,Visa,7934.95
5411,Erika,Blough,2331 Laurel Lane,Garden City,TX,79739,Visa,1666.31
5412,Richard,Parrish,3666 County Line Road,St George,FL,34683,MasterCard,14283.63
5413,Donald,Smith,3187 Hornor Avenue,Broken Arrow,OK,74014,Discover,9353.63
5414,Barney,Fischer,2949 Charack Road,Vincennes,IN,47591,Discover,4061.05
5415,Natalie,Eakes,4058 Ottis Street,Cedar Lake,OK,73036,Visa,17508.06
5416,Scott,Walden,2411 Hawks Nest Lane,Maryland Heights,MO,63043,Visa,16737.12
5417,Lakisha,Heyward,269 Horizon Circle,Tukwila,WA,98168,MasterCard,8729.32
5418,Casey,Atkins,1047 Catherine Drive,Fargo,ND,58103,Visa,17819.11
5419,Derrick,Yingling,4523 Musgrave Street,Oklahoma City,OK,73102,Discover,9433.71
5420,Verdie,Jorgenson,964 Russell Street,Cambridge,MA,02141,MasterCard,5962.58
5421,Lance,Romig,3944 Worthington Drive,Irving,TX,75038,Discover,2932.89
5422,Dawn,Armstrong,3750 Bassell Avenue,Little Rock,AR,72212,MasterCard,14316.23
5423,Michael,Payeur,3933 Marietta Street,Santa Rosa,CA,95401,Discover,5533.86
5424,Brenda,Booth,321 Mount Tabor,New York,NY,10007,MasterCard,8414.20
5425,Roland,Puckett,1851 Stewart Street,Indianapolis,IN,46256,Discover,4426.14
5426,Violet,Layman,906 Simpson Square,Ringling,OK,73456,Discover,6126.99
5427,Bernie,Boston,4239 D Street,Detroit,MI,48226,Visa,16380.48
5428,Sam,Serna,404 Fincham Road,Palm Springs,CA,92262,Visa,10121.29
5429,Andrea,Roth,4232 Nicholas Street,Salina,KS,67401,Visa,2569.48
5430,Janet,Morris,2255 Heather Sees Way,Tulsa,OK,74120,MasterCard,3006.30
5431,Alvin,Turner,650 Park Boulevard,Urbandale,IA,50322,Discover,0.00
5432,Irene,Smith,1989 Tenmile,Ivor,VA,23866,MasterCard,2026.53
5433,Janet,Harris,2432 Frank Avenue,Springfield,MA,01103,Discover,9905.55
5434,Jennifer,Gray,4646 Stone Lane,Plymouth Meeting,PA,19462,MasterCard,11331.89
5435,Mark,Peralta,1529 Comfort Court,Madison,WI,53703,MasterCard,6057.63
5436,Kevin,Moodie,3222 Crummit Lane,Johnston,RI,02919,MasterCard,11600.54
5437,Edwin,Little,3639 Duffy Street,Rensselaer,IN,47978,MasterCard,3062.22
5438,Winifred,Jordan,2087 Hazelwood Avenue,West Des Moines,IA,50266,MasterCard,0.00
5439,Bryon,Gillan,4751 Bates Brothers Road,Columbus,OH,43215,Visa,1364.21
5440,Chelsea,Solomon,4843 Charla Lane,Richardson,TX,75081,MasterCard,10473.79
5441,Arlen,Youngblood,2588 Hayhurst Lane,Westland,MI,48185,MasterCard,6364.31
5442,Keith,Williams,3618 Geneva Street,Elmsford,NY,10523,Visa,8639.69
5443,Brian,Mcmahan,1504 Small Street,New York,NY,10022,MasterCard,8403.46
5444,Linda,Gregory,4460 Steele Street,Chicago,IL,60631,Discover,0.00
5445,Jeffrey,Layton,526 Henery Street,Indianapolis,IN,46278,MasterCard,5606.74
5446,Cynthia,Johnson,4289 Michael Street,Houston,TX,77033,MasterCard,7456.49
5447,Jesse,Butler,1890 Carriage Lane,Pittston,PA,18640,Discover,0.00
5448,Kristin,Sterns,2365 Simpson Square,Madill,OK,73446,Visa,2184.47
5449,Lorene,Doughty,3936 Stratford Drive,Moanalua,HI,96819,MasterCard,3413.36
5450,Lena,Richardson,2465 Pride Avenue,Queens,NY,11413,Discover,7621.97
5451,Mary,Sanchez,1638 Richison Drive,Amsterdam,MT,59741,Visa,9768.16
5452,Fred,Maley,3804 Emily Renzelli Boulevard,Salinas,CA,93901,MasterCard,8513.54
5453,Janice,Knight,245 Wescam Court,Wakefield,MA,01880,MasterCard,11918.85
5454,Rachel,Ralls,2622 Lindale Avenue,San Francisco,CA,94108,Visa,6245.58
5455,Lisa,Ellerbee,3237 Brookside Drive,Birmingham,AL,35203,MasterCard,1814.78
5456,Norma,Hayes,953 Hiddenview Drive,Philadelphia,PA,19103,MasterCard,14073.89
5457,Grace,Melendez,2085 West Virginia Avenue,Catskill,NY,12414,MasterCard,11393.57
5458,Jack,Mabry,3518 Davisson Street,Mccordsville,IN,46055,Visa,11385.30
5459,Robert,Chapman,1976 Sand Fork Road,Plymouth,IN,46563,Visa,10946.46
5460,Daniel,Rheaume,2642 River Road,Colorado Springs,CO,80918,Visa,0.00
5461,Drew,Huizar,3279 Hilltop Street,Springfield,MA,01103,Discover,0.00
5462,Terrence,Streeter,1406 Creekside Lane,Surf,CA,93455,Visa,5386.52
5463,Kira,Almond,4440 American Drive,Crawfordville,FL,32327,MasterCard,3189.46
5464,Peggy,Kirkpatrick,1913 Werninger Street,Houston,TX,77032,Discover,9018.96
5465,Monica,Amos,1841 Sarah Drive,Lafayette,LA,70501,Visa,14446.79
5466,Lisa,Evangelista,2316 Memory Lane,Rockford,IL,61101,MasterCard,5297.04
5467,Mary,Scott,3735 Peck Court,Irvine,CA,92714,Discover,4071.26
5468,Lisa,Castaneda,151 Ashcraft Court,San Diego,CA,92117,MasterCard,5984.71
5469,Michael,Brown,4415 Goldcliff Circle,Washington,DC,20016,MasterCard,6625.09
5470,Celeste,Bateman,2502 Wilkinson Street,Nashville,TN,37209,Visa,18936.03
5471,Carol,Bonar,426 Junior Avenue,Atlanta,GA,30308,Visa,2337.16
5472,Chris,Pope,826 Polk Street,Tucson,AZ,85701,MasterCard,7489.34
5473,Jerome,Graham,4038 Sycamore Fork Road,Fort Lauderdale,FL,33301,Discover,6765.05
5474,Willie,Sroka,1280 Mcwhorter Road,Jackson,MS,39201,Visa,10570.26
5475,Kevin,Noyola,3800 Wexford Way,Rock Hill,SC,29730,Visa,0.00
5476,Eddie,Blanford,1004 Heavens Way,San Juan Capistrano,CA,92675,Visa,10367.75
5477,Carol,Lee,963 Roosevelt Road,Dodge City,KS,67801,Visa,13381.81
5478,Richard,Wooding,1649 Tea Berry Lane,Eau Claire,WI,54701,MasterCard,6212.41
5479,Florentino,Wilson,1157 Chandler Hollow Road,Pittsburgh,PA,15219,MasterCard,0.00
5480,Elana,Cuevas,4320 Locust View Drive,San Francisco,CA,94143,Discover,7573.00
5481,Michael,Howe,3101 White Pine Lane,Roanoke,VA,24011,MasterCard,3683.74
5482,Kimberly,Harriman,2763 Murphy Court,Shakopee,MN,55379,Visa,0.00
5483,Delbert,Steelman,2506 Center Avenue,Fresno,CA,93721,Visa,12084.68
5484,Carlos,Libby,784 Armory Road,Clinton,NC,28328,MasterCard,2362.08
5485,Larry,Finkbeiner,4787 Still Pastures Drive,Eutawville,SC,29048,MasterCard,6746.01
5486,Thelma,Marshall,4828 Red Bud Lane,Rochelle Park,NJ,07662,Visa,5447.45
5487,Christine,Ballenger,4276 Vine Street,Buffalo Grove,IL,60089,Visa,0.00
5488,Dorothy,Potter,1114 Tail Ends Road,Waukesha,WI,53188,Discover,0.00
5489,Hope,Frederick,2259 Passaic Street,Rochelle Park,NJ,07662,Visa,5741.44
5490,Jason,Robinson,4029 Whaley Lane,Waukesha,WI,53188,MasterCard,0.00
5491,Tracey,Thompson,2709 Ray Court,Pinehurst,NC,28374,Visa,0.00
5492,Hedy,Cullens,2550 Werninger Street,Houston,TX,77002,MasterCard,15598.10
5493,Jolene,Hardy,1708 Orphan Road,Appleton,WI,54913,Visa,0.00
5494,Kathy,Graham,4867 Round Table Drive,Cincinnati,OH,45202,Visa,10005.15
5495,Peter,Ferguson,2159 Poe Lane,Mission,KS,66202,MasterCard,1100.53
5496,Darlene,Mcdougall,4036 Camden Place,Mcclellanville,SC,29458,Visa,4249.33
5497,Rita,Alexander,3499 Meadow Drive,Miles City,MT,59301,Visa,0.00
5498,Vincent,Marcum,3295 Freed Drive,Stockton,CA,95219,Visa,12775.03
5499,Brandy,Drye,465 Scott Street,Poughkeepsie,NY,12601,MasterCard,8932.54
5500,Paula,Bishop,3676 Davis Lane,Westminster,CO,80030,MasterCard,2355.88
5501,Stella,Weston,298 Dale Avenue,Tukwila,WA,98188,MasterCard,0.00
5502,Daniel,Barnhardt,3106 Ashton Lane,Bastrop,TX,78602,MasterCard,12774.06
5503,Leora,Boyd,2244 Broadway Avenue,New Tazewell,TN,37825,Visa,0.00
5504,Carlos,Edwards,4554 Tennessee Avenue,Oxford,MI,48371,Discover,0.00
5505,Jacqueline,Shaw,1434 Marshville Road,White Plains,NY,10601,MasterCard,0.00
5506,Robert,Harris,3707 Hedge Street,Roselle,NJ,07203,Discover,3520.70
5507,Patricia,Mccray,1105 Willow Oaks Lane,Lake Charles,LA,70605,MasterCard,2767.56
5508,Mari,Jackson,605 Loving Acres Road,Fort Worth,TX,76161,MasterCard,2128.95
5509,Kathline,Cooper,2804 Granville Lane,Elmsford,NJ,10523,Visa,0.00
5510,Lori,Norman,1949 Philadelphia Avenue,Murray,UT,84107,MasterCard,6517.20
5511,Thomas,Klein,463 Perine Street,Reston,VA,22070,Visa,4587.17
5512,Felicia,Tinch,4 Elk City Road,Shreveport,LA,71101,Discover,4655.08
5513,Crystal,Nelson,4540 Tori Lane,Salt Lake City,UT,84116,MasterCard,3695.62
5514,Francisco,Pelton,2053 Wilson Street,Vista,CA,92083,MasterCard,3559.96
5515,Ronald,Clark,2472 Buckhannan Avenue,Camillus,NY,13031,Visa,3544.65
5516,John,Melendez,2602 Fancher Drive,Irving,TX,75062,MasterCard,4149.46
5517,Don,Wu,4008 Golden Ridge Road,Albany,NY,12207,MasterCard,3701.07
5518,Ella,Lin,462 Walton Street,West Valley City,UT,84119,Visa,0.00
5519,Betty,Click,24 Fittro Street,Augusta,AR,72006,Discover,6091.45
5520,Theresa,Keithley,1235 Oakmound Drive,Chicago,IL,60605,Visa,1606.33
5521,Gilbert,Bain,2475 Hart Country Lane,West Point,GA,31833,MasterCard,10674.52
5522,Sara,Romero,4350 Farland Avenue,San Antonio,TX,78229,Visa,5891.45
5523,Gary,Pryor,529 Cooks Mine Road,Santa Fe,NM,87501,Discover,0.00
5524,Bettye,Murphy,4624 Boggess Street,Wichita Falls,TX,76301,Discover,3949.16
5525,Mark,Branham,362 Denver Avenue,Ontario,CA,91761,Discover,3703.82
5526,Mary,Elrod,239 Badger Pond Lane,Tampa,FL,33619,MasterCard,11291.37
5527,Robert,Arnold,3324 Kildeer Drive,Norfolk,VA,23513,Discover,0.00
5528,Robert,Eckert,4681 Doctors Drive,Inglewood,CA,90301,Visa,1772.97
5529,Jana,Lawrence,2107 Dark Hollow Road,Browntown,WI,53522,Visa,15859.76
5530,James,Petri,2217 Crestview Terrace,Kerrville,TX,78028,MasterCard,0.00
5531,Tonya,Swanson,1787 Willison Street,Minnetonka,MN,55343,Discover,2338.26
5532,Marilyn,Womack,2764 Hurry Street,Fredericksburg,VA,22401,MasterCard,12948.25
5533,Andrew,Stewart,2463 Preston Street,Phoenix,AZ,85034,MasterCard,8481.90
5534,Helen,Mendoza,2971 Saint James Drive,Mifflintown,PA,17059,Visa,14723.25
5535,Anthony,Westrick,4151 Half and Half Drive,Friant,CA,93626,Visa,8716.33
5536,James,Potts,837 Upton Avenue,Locke Mills,ME,04255,Discover,1925.32
5537,Annette,Lauber,1537 Butternut Lane,Stlouis,IL,63101,Visa,8109.99
5538,Maureen,Witherspoon,805 Better Street,Leavenworth,KS,66048,Discover,7176.91
5539,David,Jones,4712 Harley Brook Lane,Johnstown,PA,15901,Visa,4214.27
5540,Peter,Latch,2476 Harry Place,Charlotte,NC,28211,MasterCard,1041.10
5541,Randal,Stoner,2594 Dane Street,Connell,WA,99326,MasterCard,10664.05
5542,Angelo,Johnson,4135 Ryan Road,Faulkton,SD,57438,MasterCard,6172.22
5543,Sharon,Gregory,425 Coolidge Street,Kalispell,MT,59901,Visa,9778.99
5544,William,Estrada,3594 Franklee Lane,Philadelphia,PA,19108,Discover,5352.53
5545,Anthony,Martinez,4078 Haymond Rocks Road,Medford,OR,97501,Visa,14607.61
5546,Shelly,Carroll,1852 Spring Haven Trail,Wayne,NJ,07477,Visa,10977.79
5547,Travis,Park,1414 Marcus Street,Geraldine,AL,35974,MasterCard,7568.70
5548,Bobbie,Boyles,4076 Hickory Heights Drive,Cockeysville,MD,21030,Visa,5284.62
5549,Jordan,Flinn,677 Blane Street,Manchester,MO,63011,Visa,4892.89
5550,Karen,Barnes,2519 Findley Avenue,Minot,ND,58701,MasterCard,0.00
5551,Ruth,Cook,3761 Fancher Drive,Garland,TX,75043,MasterCard,0.00
5552,Andrew,Teneyck,1226 Stonepot Road,Newark,NJ,07102,Visa,0.00
5553,Dorothy,Turner,2469 Hillside Drive,Lafayette,LA,70503,MasterCard,1670.85
5554,David,Joachim,4519 Irving Place,Manchester,MO,63011,Visa,11204.42
5555,Kevin,Hull,263 University Drive,Chicago,IL,60610,Visa,13886.00
5556,Darlene,Jones,2260 Joy Lane,Burbank,CA,91502,MasterCard,5234.31
5557,Michael,Lackey,4111 Dancing Dove Lane,New York,NY,10011,Visa,7134.89
5558,Wanda,Newman,1038 Passaic Street,Washington,DC,20005,MasterCard,3129.80
5559,Roberta,Carter,2452 Powder House Road,Delray Beach,FL,33484,MasterCard,5182.41
5560,Gail,Purvis,3956 Holden Street,San Diego,CA,92121,Visa,0.00
5561,Carolyn,Cummings,351 Walnut Avenue,Jersey City,NJ,07304,Visa,0.00
5562,Alexander,Driscoll,2927 John Daniel Drive,Sikeston,MO,63801,MasterCard,9807.33
5563,Jerry,Roman,1779 Mount Olive Road,Atlanta,GA,30303,Visa,7451.26
5564,Christopher,Stroup,143 Stratford Park,Bloomington,IN,47404,MasterCard,0.00
5565,Maryann,Nealy,290 Granville Lane,Montclair,NJ,07042,MasterCard,0.00
5566,Zachery,Skidmore,2714 Shady Pines Drive,Ararat,VA,24053,Visa,7282.31
5567,Steve,Williams,1184 Don Jackson Lane,Port Huron,MI,48060,MasterCard,7326.85
5568,Terrie,Walter,1585 Foley Street,Boca Raton,FL,33486,MasterCard,0.00
5569,Roosevelt,Baker,2434 Patterson Street,Houston,TX,77002,Visa,0.00
5570,Kevin,Adair,3783 Irish Lane,Cross Plains,WI,53528,Discover,5912.70
5571,Eric,Sides,1646 Columbia Mine Road,Walton,WV,25286,Discover,2809.26
5572,Alicia,Parker,2535 Stroop Hill Road,Atlanta,GA,30303,Visa,11628.44
5573,Richard,Walker,3707 Illinois Avenue,Hillsboro,OR,97123,Discover,0.00
5574,Allan,Blake,3443 Amethyst Drive,East Lansing,MI,48823,Discover,7755.95
5575,Wayne,Cable,2428 Scenicview Drive,Seattle,WA,98161,Discover,2486.27
5576,Judy,Benge,1050 Layman Avenue,Savannah,GA,31405,Visa,4175.19
5577,Sam,Call,1916 Green Street,Nashville,TN,37210,MasterCard,7590.63
5578,Virginia,Austria,3148 Parkway Drive,Sierra Vista,AZ,85635,Visa,17726.72
5579,Joe,Wright,2001 Meadowbrook Mall Road,Pomona,CA,91766,MasterCard,6206.14
5580,Jason,Mcgee,3340 Lincoln Drive,Chambersburg,PA,17201,Visa,20948.39
5581,Alice,Scott,2953 Frank Avenue,Sandisfield,MA,01255,Visa,20918.88
5582,Sheryl,Koval,3246 Austin Secret Lane,Eureka,UT,84628,MasterCard,4466.24
5583,Hung,Smith,146 Owen Lane,Fort Myers,FL,33901,MasterCard,5033.83
5584,James,Davis,3281 Margaret Street,Houston,TX,77040,MasterCard,13039.30
5585,Matthew,Webb,2841 Whaley Lane,Milwaukee,WI,53202,Visa,5959.69
5586,Claudine,Campbell,3494 Tully Street,Detroit,MI,48219,Visa,9661.45
